method_name	error_message	n	example
GPfates	"3 
Runtime:  02m47s19
Optimization status: Converged

Store DR------------------------------------------------------
Infer pseudotime----------------------------------------------
-- error --
Traceback (most recent call last):
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/wrapper.py"", line 28, in <module>
    m.infer_pseudotime(s_columns=[""bgplvm_"" + str(i) for i in range(p[""ndims""])]) # use the first two components to infer pseudotime
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPfates/GPfates.py"", line 41, in infer_pseudoti"	1	real/psc-astrocyte-maturation-glia_sloan
GPfates	"4 
 02m40s44  0983   7.716941e+05   5.907987e+03 
 02m41s47  0990   7.717217e+05   7.183540e+06 
 02m42s51  0997   7.716921e+05   6.067352e+02 
 02m43s64  1005   7.716909e+05   5.815029e+02 
 02m44s72  1012   7.716898e+05   4.388783e+03 
 02m45s81  1019   7.716890e+05   5.748529e+03 
 02m46s89  1026   7.716878e+05   1.220826e+04 
 02m47s92  1033   7.716872e+05   5.116131e+03 
 02m48s97  1040   7.716862e+05   2.530176e+03 
 02m50s02  1047   7.716858e+05   1.906807e+04 
 02m51s06  1054   7.716851e+05   3.883123e+03 
 02m52s12  1061   7.716848e+05   3.309907e+02 
 02m53s18  1068   7.716843e+05   "	1	synthetic/converging_2
GPfates	"8 
 13m23s82  0151  -3.799544e+05   1.166980e+08 
 13m28s39  0152  -3.802778e+05   1.346452e+07 
 13m32s51  0153  -3.805958e+05   1.186801e+07 
 13m37s16  0154  -3.809652e+05   1.296547e+08 
 13m41s69  0155  -3.813115e+05   7.705226e+06 
 13m46s90  0156  -3.814305e+05   3.277660e+06 
 13m51s89  0157  -3.815447e+05   7.018711e+07 
 13m56s64  0158  -3.816396e+05   1.092541e+07 
 14m01s45  0159  -3.817113e+05   5.371042e+06 
 14m06s33  0160  -3.818916e+05   3.487363e+07 
 14m10s96  0161  -3.822709e+05   1.243237e+08 
 14m15s39  0162  -3.824903e+05   6.060533e+07 
 14m19s81  0163  -3.825674e+05   "	1	real/oligodendrocyte-differentiation-subclusters_marques
GPfates	"er_core.py"", line 498, in _parameters_changed_notification
    self.parameters_changed()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/models/bayesian_gplvm.py"", line 85, in parameters_changed
    super(BayesianGPLVM,self).parameters_changed()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/core/sparse_gp_mpi.py"", line 122, in parameters_changed
    super(SparseGP_MPI,self).parameters_changed()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/"	1	synthetic/bifurcating_10
GPfates	"ervers(which=which)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in notify_observers
    [callble(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in <listcomp>
    [callble(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/parameter_core.py"", line 500, in _"	1	synthetic/linear_9
GPfates	"f.variance.constrain_fixed(200., warning=False)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/constrainable.py"", line 62, in constrain_fixed
    self[:] = value
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable_array.py"", line 119, in __setitem__
    self.notify_observers()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in notify_observers
    [callble(self, which=which) for _, _,"	1	synthetic/consecutive_bifurcating_9
GPfates	"h=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in <listcomp>
    [callble(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/parameter_core.py"", line 498, in _parameters_changed_notification
    self.parameters_changed()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/models/bayesian_gplvm.py"", line 85"	1	synthetic/linear_10
GPfates	"le(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/parameter_core.py"", line 500, in _pass_through_notify_observers
    self.notify_observers(which=which)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in notify_observers
    [callble(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/"	1	real/epidermis-hair-uHF_joost
GPfates	"lf.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/parameter_core.py"", line 500, in _pass_through_notify_observers
    self.notify_observers(which=which)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in notify_observers
    [callble(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in <listcomp>
    [c"	1	real/epidermis-hair-uHF_joost
GPfates	"meters_changed_notification
    self.parameters_changed()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/models/bayesian_gplvm.py"", line 85, in parameters_changed
    super(BayesianGPLVM,self).parameters_changed()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/core/sparse_gp_mpi.py"", line 122, in parameters_changed
    super(SparseGP_MPI,self).parameters_changed()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/core/sparse_gp.py"", line 80"	1	synthetic/bifurcating_loop_9
GPfates	"onstrain_fixed
    self[:] = value
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable_array.py"", line 119, in __setitem__
    self.notify_observers()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in notify_observers
    [callble(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in <listcomp>
    [callble("	1	synthetic/consecutive_bifurcating_9
GPfates	"ry/GPfates/venv/lib/python3.5/site-packages/GPy/models/bayesian_gplvm.py"", line 85, in parameters_changed
    super(BayesianGPLVM,self).parameters_changed()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/core/sparse_gp_mpi.py"", line 122, in parameters_changed
    super(SparseGP_MPI,self).parameters_changed()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/core/sparse_gp.py"", line 80, in parameters_changed
    mean_function=self.mean_function)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/l"	1	synthetic/linear_long_10
GPfates	"scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/parameter_core.py"", line 498, in _parameters_changed_notification
    self.parameters_changed()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/models/bayesian_gplvm.py"", line 85, in parameters_changed
    super(BayesianGPLVM,self).parameters_changed()
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/GPy/core/sparse_gp_mpi.py"", line 122, in parameters_changed
    super(SparseGP_MPI,self).parameters_"	1	real/aging-hsc-young_kowalczyk
GPfates	"servable.py"", line 91, in notify_observers
    [callble(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in <listcomp>
    [callble(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/parameter_core.py"", line 500, in _pass_through_notify_observers
    self.notify_observers(which=which)
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfate"	1	synthetic/linear_long_9
GPfates	"v/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in notify_observers
    [callble(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/observable.py"", line 91, in <listcomp>
    [callble(self, which=which) for _, _, callble in self.observers]
  File ""/scratch/irc/shared/dynverse/R/lib64/R/library/GPfates/venv/lib/python3.5/site-packages/paramz/core/parameter_core.py"", line 500, in _pass_through_notify_observers
    self.notify_observers(which=which)
  File ""/scratch/"	1	synthetic/bifurcating_3
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.13.all.q/RtmpStiizv/scoupe21438192655/data /tmp/2549.13.all.q/RtmpStiizv/scoupe21438192655/init /tmp/2549.13.all.q/RtmpStiizv/scoupe21438192655/time_sp /tmp/2549.13.all.q/RtmpStiizv/scoupe21438192655/gpara /tmp/2549.13.all.q/RtmpStiizv/scoupe21438192655/cpara /tmp/2549.13.all.q/RtmpStiizv/scoupe21438192655/ll 5310 264 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	real/cell-cycle_buettner
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.14.all.q/Rtmp9SCRQZ/scoup1289917fd95e9/data /tmp/2549.14.all.q/Rtmp9SCRQZ/scoup1289917fd95e9/init /tmp/2549.14.all.q/Rtmp9SCRQZ/scoup1289917fd95e9/time_sp /tmp/2549.14.all.q/Rtmp9SCRQZ/scoup1289917fd95e9/gpara /tmp/2549.14.all.q/Rtmp9SCRQZ/scoup1289917fd95e9/cpara /tmp/2549.14.all.q/Rtmp9SCRQZ/scoup1289917fd95e9/ll 5310 264 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	real/cell-cycle_buettner
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.15.all.q/Rtmp7vk5CR/scoupe23c281fbe3e/data /tmp/2549.15.all.q/Rtmp7vk5CR/scoupe23c281fbe3e/init /tmp/2549.15.all.q/Rtmp7vk5CR/scoupe23c281fbe3e/time_sp /tmp/2549.15.all.q/Rtmp7vk5CR/scoupe23c281fbe3e/gpara /tmp/2549.15.all.q/Rtmp7vk5CR/scoupe23c281fbe3e/cpara /tmp/2549.15.all.q/Rtmp7vk5CR/scoupe23c281fbe3e/ll 5310 264 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	real/cell-cycle_buettner
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.16.all.q/RtmpBcI6Mq/scoupf1d1c4db961/data /tmp/2549.16.all.q/RtmpBcI6Mq/scoupf1d1c4db961/init /tmp/2549.16.all.q/RtmpBcI6Mq/scoupf1d1c4db961/time_sp /tmp/2549.16.all.q/RtmpBcI6Mq/scoupf1d1c4db961/gpara /tmp/2549.16.all.q/RtmpBcI6Mq/scoupf1d1c4db961/cpara /tmp/2549.16.all.q/RtmpBcI6Mq/scoupf1d1c4db961/ll 5310 264 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	real/cell-cycle_buettner
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.17.all.q/Rtmp8cvlFw/scoupf1fa23bdaafb/data /tmp/2549.17.all.q/Rtmp8cvlFw/scoupf1fa23bdaafb/init /tmp/2549.17.all.q/Rtmp8cvlFw/scoupf1fa23bdaafb/time_sp /tmp/2549.17.all.q/Rtmp8cvlFw/scoupf1fa23bdaafb/gpara /tmp/2549.17.all.q/Rtmp8cvlFw/scoupf1fa23bdaafb/cpara /tmp/2549.17.all.q/Rtmp8cvlFw/scoupf1fa23bdaafb/ll 3766 222 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	real/cell-cycle_leng
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.18.all.q/RtmpFJ0vgw/scoupd4eb74e0e5fa/data /tmp/2549.18.all.q/RtmpFJ0vgw/scoupd4eb74e0e5fa/init /tmp/2549.18.all.q/RtmpFJ0vgw/scoupd4eb74e0e5fa/time_sp /tmp/2549.18.all.q/RtmpFJ0vgw/scoupd4eb74e0e5fa/gpara /tmp/2549.18.all.q/RtmpFJ0vgw/scoupd4eb74e0e5fa/cpara /tmp/2549.18.all.q/RtmpFJ0vgw/scoupd4eb74e0e5fa/ll 3766 222 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	real/cell-cycle_leng
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.19.all.q/RtmpZS7xXH/scoup127dc5a4ca971/data /tmp/2549.19.all.q/RtmpZS7xXH/scoup127dc5a4ca971/init /tmp/2549.19.all.q/RtmpZS7xXH/scoup127dc5a4ca971/time_sp /tmp/2549.19.all.q/RtmpZS7xXH/scoup127dc5a4ca971/gpara /tmp/2549.19.all.q/RtmpZS7xXH/scoup127dc5a4ca971/cpara /tmp/2549.19.all.q/RtmpZS7xXH/scoup127dc5a4ca971/ll 3766 222 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	real/cell-cycle_leng
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.20.all.q/RtmpQNCe9c/scoupe26c23f26b59/data /tmp/2549.20.all.q/RtmpQNCe9c/scoupe26c23f26b59/init /tmp/2549.20.all.q/RtmpQNCe9c/scoupe26c23f26b59/time_sp /tmp/2549.20.all.q/RtmpQNCe9c/scoupe26c23f26b59/gpara /tmp/2549.20.all.q/RtmpQNCe9c/scoupe26c23f26b59/cpara /tmp/2549.20.all.q/RtmpQNCe9c/scoupe26c23f26b59/ll 3766 222 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	real/cell-cycle_leng
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.389.all.q/Rtmpq3hdef/scoupdfa32c520240/data /tmp/2549.389.all.q/Rtmpq3hdef/scoupdfa32c520240/init /tmp/2549.389.all.q/Rtmpq3hdef/scoupdfa32c520240/time_sp /tmp/2549.389.all.q/Rtmpq3hdef/scoupdfa32c520240/gpara /tmp/2549.389.all.q/Rtmpq3hdef/scoupdfa32c520240/cpara /tmp/2549.389.all.q/Rtmpq3hdef/scoupdfa32c520240/ll 5 695 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_10
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.390.all.q/Rtmpz3n0KJ/scoupdfce6f408263/data /tmp/2549.390.all.q/Rtmpz3n0KJ/scoupdfce6f408263/init /tmp/2549.390.all.q/Rtmpz3n0KJ/scoupdfce6f408263/time_sp /tmp/2549.390.all.q/Rtmpz3n0KJ/scoupdfce6f408263/gpara /tmp/2549.390.all.q/Rtmpz3n0KJ/scoupdfce6f408263/cpara /tmp/2549.390.all.q/Rtmpz3n0KJ/scoupdfce6f408263/ll 5 695 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_10
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.391.all.q/RtmpPJGLSd/scoupdff3318d12ac/data /tmp/2549.391.all.q/RtmpPJGLSd/scoupdff3318d12ac/init /tmp/2549.391.all.q/RtmpPJGLSd/scoupdff3318d12ac/time_sp /tmp/2549.391.all.q/RtmpPJGLSd/scoupdff3318d12ac/gpara /tmp/2549.391.all.q/RtmpPJGLSd/scoupdff3318d12ac/cpara /tmp/2549.391.all.q/RtmpPJGLSd/scoupdff3318d12ac/ll 5 695 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_10
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.392.all.q/Rtmp64PNgL/scoupe01874c19468/data /tmp/2549.392.all.q/Rtmp64PNgL/scoupe01874c19468/init /tmp/2549.392.all.q/Rtmp64PNgL/scoupe01874c19468/time_sp /tmp/2549.392.all.q/Rtmp64PNgL/scoupe01874c19468/gpara /tmp/2549.392.all.q/Rtmp64PNgL/scoupe01874c19468/cpara /tmp/2549.392.all.q/Rtmp64PNgL/scoupe01874c19468/ll 5 695 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_10
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.393.all.q/RtmpGHR7yA/scoup132285110ca67/data /tmp/2549.393.all.q/RtmpGHR7yA/scoup132285110ca67/init /tmp/2549.393.all.q/RtmpGHR7yA/scoup132285110ca67/time_sp /tmp/2549.393.all.q/RtmpGHR7yA/scoup132285110ca67/gpara /tmp/2549.393.all.q/RtmpGHR7yA/scoup132285110ca67/cpara /tmp/2549.393.all.q/RtmpGHR7yA/scoup132285110ca67/ll 89 345 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_11
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.394.all.q/RtmpRPvLEm/scoup133487920ba3f/data /tmp/2549.394.all.q/RtmpRPvLEm/scoup133487920ba3f/init /tmp/2549.394.all.q/RtmpRPvLEm/scoup133487920ba3f/time_sp /tmp/2549.394.all.q/RtmpRPvLEm/scoup133487920ba3f/gpara /tmp/2549.394.all.q/RtmpRPvLEm/scoup133487920ba3f/cpara /tmp/2549.394.all.q/RtmpRPvLEm/scoup133487920ba3f/ll 89 345 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_11
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.395.all.q/RtmpJ4Qinb/scoupe04037470d97/data /tmp/2549.395.all.q/RtmpJ4Qinb/scoupe04037470d97/init /tmp/2549.395.all.q/RtmpJ4Qinb/scoupe04037470d97/time_sp /tmp/2549.395.all.q/RtmpJ4Qinb/scoupe04037470d97/gpara /tmp/2549.395.all.q/RtmpJ4Qinb/scoupe04037470d97/cpara /tmp/2549.395.all.q/RtmpJ4Qinb/scoupe04037470d97/ll 89 345 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_11
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.396.all.q/Rtmp4fdeV2/scoup132532b6645d6/data /tmp/2549.396.all.q/Rtmp4fdeV2/scoup132532b6645d6/init /tmp/2549.396.all.q/Rtmp4fdeV2/scoup132532b6645d6/time_sp /tmp/2549.396.all.q/Rtmp4fdeV2/scoup132532b6645d6/gpara /tmp/2549.396.all.q/Rtmp4fdeV2/scoup132532b6645d6/cpara /tmp/2549.396.all.q/Rtmp4fdeV2/scoup132532b6645d6/ll 89 345 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_11
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.397.all.q/Rtmpdg356J/scoup1337d54329f2f/data /tmp/2549.397.all.q/Rtmpdg356J/scoup1337d54329f2f/init /tmp/2549.397.all.q/Rtmpdg356J/scoup1337d54329f2f/time_sp /tmp/2549.397.all.q/Rtmpdg356J/scoup1337d54329f2f/gpara /tmp/2549.397.all.q/Rtmpdg356J/scoup1337d54329f2f/cpara /tmp/2549.397.all.q/Rtmpdg356J/scoup1337d54329f2f/ll 746 873 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_2
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.398.all.q/RtmpejRq4q/scoupe06c46dbe1e/data /tmp/2549.398.all.q/RtmpejRq4q/scoupe06c46dbe1e/init /tmp/2549.398.all.q/RtmpejRq4q/scoupe06c46dbe1e/time_sp /tmp/2549.398.all.q/RtmpejRq4q/scoupe06c46dbe1e/gpara /tmp/2549.398.all.q/RtmpejRq4q/scoupe06c46dbe1e/cpara /tmp/2549.398.all.q/RtmpejRq4q/scoupe06c46dbe1e/ll 746 873 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_2
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.399.all.q/RtmpvMUuMV/scoup133bf37470d97/data /tmp/2549.399.all.q/RtmpvMUuMV/scoup133bf37470d97/init /tmp/2549.399.all.q/RtmpvMUuMV/scoup133bf37470d97/time_sp /tmp/2549.399.all.q/RtmpvMUuMV/scoup133bf37470d97/gpara /tmp/2549.399.all.q/RtmpvMUuMV/scoup133bf37470d97/cpara /tmp/2549.399.all.q/RtmpvMUuMV/scoup133bf37470d97/ll 746 873 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_2
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.400.all.q/RtmpqsEBnS/scoup133be4def66c9/data /tmp/2549.400.all.q/RtmpqsEBnS/scoup133be4def66c9/init /tmp/2549.400.all.q/RtmpqsEBnS/scoup133be4def66c9/time_sp /tmp/2549.400.all.q/RtmpqsEBnS/scoup133be4def66c9/gpara /tmp/2549.400.all.q/RtmpqsEBnS/scoup133be4def66c9/cpara /tmp/2549.400.all.q/RtmpqsEBnS/scoup133be4def66c9/ll 746 873 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_2
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.401.all.q/RtmpLREtTk/scoup1327b6121614e/data /tmp/2549.401.all.q/RtmpLREtTk/scoup1327b6121614e/init /tmp/2549.401.all.q/RtmpLREtTk/scoup1327b6121614e/time_sp /tmp/2549.401.all.q/RtmpLREtTk/scoup1327b6121614e/gpara /tmp/2549.401.all.q/RtmpLREtTk/scoup1327b6121614e/cpara /tmp/2549.401.all.q/RtmpLREtTk/scoup1327b6121614e/ll 860 489 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_3
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.402.all.q/RtmpfXTvAC/scoupe0913f065c26/data /tmp/2549.402.all.q/RtmpfXTvAC/scoupe0913f065c26/init /tmp/2549.402.all.q/RtmpfXTvAC/scoupe0913f065c26/time_sp /tmp/2549.402.all.q/RtmpfXTvAC/scoupe0913f065c26/gpara /tmp/2549.402.all.q/RtmpfXTvAC/scoupe0913f065c26/cpara /tmp/2549.402.all.q/RtmpfXTvAC/scoupe0913f065c26/ll 860 489 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_3
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.403.all.q/RtmptNAmwn/scoup1329f1ab6be5c/data /tmp/2549.403.all.q/RtmptNAmwn/scoup1329f1ab6be5c/init /tmp/2549.403.all.q/RtmptNAmwn/scoup1329f1ab6be5c/time_sp /tmp/2549.403.all.q/RtmptNAmwn/scoup1329f1ab6be5c/gpara /tmp/2549.403.all.q/RtmptNAmwn/scoup1329f1ab6be5c/cpara /tmp/2549.403.all.q/RtmptNAmwn/scoup1329f1ab6be5c/ll 860 489 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_3
SCOUP	"Error running command: 
'/scratch/irc/shared/dynverse/R/lib64/R/library/SCOUP/code/scoup' /tmp/2549.404.all.q/RtmpMpm6G7/scoupe0c02afddd14/data /tmp/2549.404.all.q/RtmpMpm6G7/scoupe0c02afddd14/init /tmp/2549.404.all.q/RtmpMpm6G7/scoupe0c02afddd14/time_sp /tmp/2549.404.all.q/RtmpMpm6G7/scoupe0c02afddd14/gpara /tmp/2549.404.all.q/RtmpMpm6G7/scoupe0c02afddd14/cpara /tmp/2549.404.all.q/RtmpMpm6G7/scoupe0c02afddd14/ll 860 489 -k 0 -m 100 -M 100 -a 0.1 -A 100 -t 0.001 -T 2 -s 0.1 -e 0.01
-- output --
-- error --"	1	synthetic/cycle_3
